WavwNum_Goethite,value_Goethite
745.2242,0.033027999
745.7064,0.111309
746.1885,0.315807
746.6706,0.553696
747.1527,0.680351
747.6348,0.526943
748.1169,0.309673
748.5991,0.209454
749.0812,0.193527
749.5633,0.167744
750.0454,0.127632
750.5275,0.082886003
751.0096,0.0036319999
751.4918,0.1003
751.9739,0.076889001
752.456,0.127098
752.9381,0.318684
753.4202,0.416874
753.9023,0.422668
754.3845,0.306217
754.8666,0.076545998
755.3487,0.108917
755.8308,0.085143998
756.3129,0.011154
756.795,0.053805999
757.2772,0.031895
757.7593,0.071067996
758.2414,0.39109
758.7235,0.690151
759.2056,0.811344
759.6877,0.716755
760.1699,0.685184
760.652,0.741234
761.1341,0.812866
761.6162,0.861965
762.0983,0.885647
762.5804,0.845837
763.0626,0.736813
763.5447,0.595657
764.0268,0.332638
764.5089,0.112522
764.991,0.23954
765.4731,0.839706
765.9553,1.247097
766.4374,0.984516
766.9195,0.581894
767.4016,0.497417
767.8837,0.972332
768.3658,1.124519
768.848,0.833347
769.3301,0.426258
769.8122,0.202293
770.2943,0.153687
770.7764,0.230408
771.2585,0.442078
771.7407,0.676304
772.2228,0.823498
772.7049,0.918777
773.187,1.020699
773.6691,1.171562
774.1512,1.252506
774.6334,1.074142
775.1155,0.879112
775.5976,0.948124
776.0797,1.510654
776.5618,1.858418
777.0439,1.942688
777.5261,1.842007
778.0082,1.551395
778.4903,1.114559
778.9724,0.970222
779.4545,1.268711
779.9366,1.628624
780.4188,1.607738
780.9009,1.372986
781.383,1.171227
781.8651,0.986618
782.3472,0.986416
782.8293,1.387894
783.3115,1.941292
783.7936,2.316437
784.2757,2.543522
784.7578,2.475758
785.2399,1.990986
785.722,1.379467
786.2041,1.097275
786.6862,1.116131
787.1683,1.267895
787.6505,1.561806
788.1326,1.84201
788.6147,1.948807
789.0968,1.940861
789.5789,1.907272
790.061,1.89452
790.5432,1.842697
791.0253,1.686737
791.5074,1.501812
791.9895,1.41312
792.4716,1.454666
