WavwNum_Dolomite,value_Dolomite
692.1066,16.68091
692.5887,17.67832
693.0709,18.61057
693.553,19.29102
694.0351,19.15742
694.5172,19.08
694.9993,19.62177
695.4814,20.8695
695.9636,22.06831
696.4457,22.78422
696.9278,23.68269
697.4099,25.24318
697.892,27.69997
698.3741,29.05143
698.8563,28.95509
699.3384,28.80185
699.8205,29.87981
700.3026,31.97081
700.7847,34.12904
701.2668,36.25091
701.749,38.48557
702.2311,40.83728
702.7132,43.43956
703.1953,46.52387
703.6774,50.49798
704.1595,54.29013
704.6417,56.96996
705.1238,59.34245
705.6059,62.52077
706.088,67.00015
706.5701,71.66034
707.0522,76.42585
707.5344,81.26755
708.0165,85.80498
708.4986,89.92242
708.9807,95.25772
709.4628,102.5949
709.9449,111.0418
710.4271,118.9881
710.9092,126.4437
711.3913,133.746
711.8734,140.9533
712.3555,148.0311
712.8376,154.7831
713.3198,161.3647
713.8019,168.421
714.284,176.2577
714.7661,184.5931
715.2482,193.3262
715.7303,202.4446
716.2125,211.7417
716.6946,221.3135
717.1767,231.0026
717.6588,240.5571
718.1409,250.067
718.623,259.703
719.1052,269.6023
719.5873,279.6721
720.0694,290.9617
720.5515,302.0806
721.0336,311.4162
721.5157,318.6349
721.9979,324.6283
722.48,331.0269
722.9621,335.6649
723.4442,336.8034
723.9263,333.8601
724.4084,328.2298
724.8906,319.7403
725.3727,308.6664
725.8548,294.9333
726.3369,278.3054
726.819,260.9435
727.3011,243.1842
727.7833,224.9919
728.2654,205.9215
728.7475,186.782
729.2296,169.5065
729.7117,155.0545
730.1938,141.8051
730.676,128.695
731.1581,116.2279
731.6402,105.0057
732.1223,95.54841
732.6044,86.95633
733.0865,79.1357
733.5687,72.10968
734.0508,65.87852
734.5329,60.38532
735.015,55.59909
735.4971,51.6125
735.9792,48.2328
736.4614,45.16309
736.9435,42.35232
737.4256,39.54188
737.9077,36.40979
738.3898,33.35953
738.8719,30.81881
739.3541,28.70208
739.8362,26.82109
740.3183,25.03925
740.8004,23.26986
741.2825,21.41681
741.7646,19.55521
742.2468,18.39977
742.7289,18.24577
743.211,18.06063
743.6931,17.30632
744.1752,16.11029
744.6573,15.30216
745.1395,14.87234
745.6216,14.24685
746.1037,12.73994
746.5858,10.97229
747.0679,9.676315
747.55,8.883884
748.0322,8.431206
748.5143,8.591389
748.9964,8.793385
749.4785,8.681938
749.9606,8.241833
750.4427,7.817242
750.9249,7.282242
751.407,6.699303
751.8891,6.068981
752.3712,5.397835
752.8533,5.291214
753.3354,5.743622
753.8176,6.218227
754.2997,6.186764
754.7818,5.823544
755.2639,5.421036
755.746,5.057896
756.2281,4.452755
756.7103,2.978306
757.1924,1.484863
757.6745,0.735859
758.1566,1.125996
758.6387,1.731667
759.1208,2.787346
759.603,3.759727
760.0851,4.042629
760.5672,3.616596
761.0493,3.147072
761.5314,2.712238
762.0135,2.223042
762.4957,1.323399
762.9778,0.345043
763.4599,0.061039001
763.942,0.411243
764.4241,1.142185
764.9063,2.282955
765.3884,3.291634
765.8705,3.487083
766.3526,1.732243
766.8347,0.70118
767.3168,0.745041
767.799,1.335121
768.2811,1.749462
768.7632,1.990974
769.2453,1.961132
769.7274,1.579922
770.2095,1.073902
770.6917,0.723339
771.1738,0.498642
771.6559,0.334625
772.138,0.254242
772.6201,0.169216
773.1022,0.012165
773.5844,0.183159
774.0665,0.361687
774.5486,0.653561
775.0307,0.711468
775.5128,0.389458
775.9949,0.123302
776.4771,0.421284
776.9592,0.505299
777.4413,0.4468
777.9234,0.152725
778.4055,0.131332
778.8876,0.072734997
779.3698,0.588428
779.8519,0.962589
780.334,0.874249
780.8161,0.718376
781.2982,0.692509
781.7803,0.734913
782.2625,0.671143
782.7446,0.483795
783.2267,0.185135
783.7088,0.337498
784.1909,0.908054
784.673,0.940338
785.1552,0.440636
785.6373,0.0088160001
786.1194,0.179237
786.6015,0.171906
787.0836,0.017262001
787.5657,0.204929
