WavwNum_Pyrite,value_Pyrite
678.5828,0.19028
679.0649,0.110276
679.5471,0.200628
680.0292,0.338931
680.5113,0.399215
680.9934,0.381228
681.4755,0.334214
681.9576,0.250337
682.4398,0.184521
682.9219,0.251448
683.404,0.39862
683.8861,0.481202
684.3682,0.428251
684.8503,0.339367
685.3325,0.270874
685.8146,0.221495
686.2967,0.187055
686.7788,0.119346
687.2609,0.119539
687.743,0.301188
688.2252,0.588987
688.7073,0.65236
689.1894,0.389001
689.6715,0.125902
690.1536,0.023940001
690.6357,0.069293
691.1179,0.038968999
691.6,0.069427997
692.0821,0.180652
692.5642,0.278287
693.0463,0.334124
693.5284,0.265182
694.0106,0.071213
694.4927,0.087237
694.9748,0.069665
695.4569,0.002204
695.939,0.029826
696.4211,0.016594
696.9033,0.054726001
697.3854,0.096470997
697.8675,0.113234
698.3496,0.068186
698.8317,0.073633999
699.3138,0.154355
699.796,0.161613
700.2781,0.112263
700.7602,0.019687001
701.2423,0.207985
701.7244,0.276086
702.2065,0.145912
702.6887,0.035693999
703.1708,0.101898
703.6529,0.094976
704.135,0.093875997
704.6171,0.115093
705.0992,0.163658
705.5814,0.302011
706.0635,0.474118
706.5456,0.503798
707.0277,0.266533
707.5098,0.056488998
707.9919,0.073439002
708.4741,0.123422
708.9562,0.057679001
709.4383,0.143679
709.9204,0.290775
710.4025,0.228245
710.8846,0.055612002
711.3667,0.062084001
711.8488,0.225855
712.3309,0.367389
712.813,0.332814
713.2952,0.249276
713.7773,0.22814
714.2594,0.276714
714.7415,0.316181
715.2236,0.320136
715.7057,0.298016
716.1879,0.246401
716.67,0.140307
717.1521,0.113109
717.6342,0.188523
718.1163,0.293157
718.5984,0.372015
719.0806,0.423719
719.5627,0.427985
720.0448,0.378498
720.5269,0.309663
721.009,0.239543
721.4911,0.1788
721.9733,0.146657
722.4554,0.160785
722.9375,0.174246
723.4196,0.152342
723.9017,0.122365
724.3839,0.11994
724.866,0.208491
725.3481,0.235358
725.8302,0.156394
726.3123,0.035468001
726.7944,0.0052060001
727.2766,0.041019998
727.7587,0.089249
728.2408,0.11784
728.7229,0.137358
729.205,0.165995
729.6871,0.201286
730.1693,0.233997
730.6514,0.288829
731.1335,0.314125
731.6156,0.244722
732.0977,0.112091
732.5798,0.016773
733.062,0.031475998
733.5441,0.018748
734.0262,0.096988
734.5083,0.286358
734.9904,0.353793
735.4725,0.263971
735.9547,0.174876
736.4368,0.171542
736.9189,0.224893
737.401,0.200725
737.8831,0.108128
738.3652,0.056453999
738.8474,0.187862
739.3295,0.353095
739.8116,0.374355
740.2937,0.248038
740.7758,0.158536
741.2579,0.20603
741.7401,0.286477
742.2222,0.346336
742.7043,0.384022
743.1864,0.408162
743.6685,0.429218
744.1506,0.416498
744.6328,0.32064
745.1149,0.151524
745.597,0.053167999
746.0791,0.033417001
746.5612,0.074894004
747.0433,0.2193
747.5255,0.393976
748.0076,0.488469
748.4897,0.485018
748.9718,0.427542
749.4539,0.256032
749.936,0.085936002
750.4182,0.029417999
750.9003,0.197714
751.3824,0.284743
751.8645,0.271708
752.3466,0.194381
752.8287,0.089681
753.3109,0.041586999
753.793,0.113794
754.2751,0.121257
754.7572,0.067460999
755.2393,0.116278
755.7214,0.346803
756.2036,0.454048
756.6857,0.324924
757.1678,0.191612
757.6499,0.203617
758.132,0.279799
758.6141,0.302903
759.0963,0.165257
759.5784,0.097760998
760.0605,0.168674
760.5426,0.301782
761.0247,0.326504
761.5068,0.232073
761.989,0.208188
762.4711,0.331395
762.9532,0.487885
763.4353,0.491592
763.9174,0.381628
764.3995,0.25511
764.8817,0.091596
765.3638,0.007609
765.8459,0.06047
766.328,0.227729
766.8101,0.336235
767.2922,0.28662
767.7744,0.27244
768.2565,0.355458
768.7386,0.485708
769.2207,0.509428
769.7028,0.418516
770.1849,0.313997
770.6671,0.207774
771.1492,0.134919
771.6313,0.201279
772.1134,0.365897
772.5955,0.486328
773.0776,0.431704
773.5598,0.365961
774.0419,0.421414
774.524,0.558945
775.0061,0.592598
775.4882,0.360394
775.9703,0.204567
776.4525,0.251184
776.9346,0.446024
777.4167,0.494247
777.8988,0.383934
778.3809,0.29711
778.863,0.362097
779.3452,0.487526
779.8273,0.491136
780.3094,0.392338
780.7915,0.281752
781.2736,0.151067
781.7557,0.076410003
782.2379,0.151794
782.72,0.360763
783.2021,0.455806
783.6842,0.30654
784.1663,0.209986
784.6484,0.313769
785.1306,0.575611
785.6127,0.611704
786.0948,0.408977
786.5769,0.222151
787.059,0.233584
787.5411,0.352131
788.0233,0.438442
788.5054,0.491632
788.9875,0.516449
789.4696,0.226209
789.9517,0.56847
790.4338,0.761895
790.916,0.813665
791.3981,0.302964
791.8802,0.519629
792.3623,0.445051
792.8444,0.358584
793.3265,0.677724
793.8087,0.249612
794.2908,0.562434
794.7729,0.57957
795.255,0.732119
795.7371,0.591657
796.2192,0.541812
796.7014,0.785221
797.1835,0.866342
797.6656,0.692403
798.1477,0.853967
798.6298,0.416258
799.1119,0.504529
799.5941,0.819772
800.0762,0.660863
800.5583,0.828077
801.0404,0.871166
801.5225,0.349951
802.0046,0.810276
802.4868,0.846203
802.9689,0.44636
803.451,0.873231
803.9331,0.533589
804.4152,0.467625
804.8973,0.607635
805.3795,0.533046
805.8616,0.796976
806.3437,0.734957
806.8258,0.64389
807.3079,0.680009
807.79,0.355952
808.2722,0.700264
808.7543,0.588133
809.2364,0.70304
809.7185,0.869514
810.2006,0.588812
810.6827,0.505497
811.1649,0.469104
811.647,0.589304
812.1291,0.732729
812.6112,0.78378
813.0933,0.737678
813.5754,0.736651
814.0576,0.882223
814.5397,0.980596
815.0218,0.933873
815.5039,0.75515
815.986,0.669695
816.4681,0.68358
816.9503,0.70676
