WavwNum_Pyrolusite,value_Pyrolusite
717.6589,0.627039
718.141,0.71483
718.6231,0.37882
719.1052,0.39978
719.5873,0.974661
720.0695,0.652367
720.5516,0.9332267
721.0337,0.662373
721.5158,1.017845
721.9979,1.15638
722.48,0.971079
722.9622,0.641838
723.4443,0.274277
723.9264,0.337198
724.4085,0.455954
724.8906,0.244978
725.3727,0.407128
725.8549,0.2407602
726.337,0.503969
726.8191,0.081343003
727.3012,0.020939
727.7833,0.173656
728.2654,0.497887
728.7476,0.879631
729.2297,1.027403
729.7118,0.770845
730.1939,0.447884
730.676,0.247046
731.1581,0.130991
731.6403,0.095178999
732.1224,0.218494
732.6045,0.320757
733.0866,0.380007
733.5687,0.401388
734.0508,0.395493
734.533,0.364807
735.0151,0.279861
735.4972,0.061756
735.9793,0.121342
736.4614,0.292049
736.9435,1.133526
737.4257,1.621635
737.9078,0.9939
738.3899,0.138252
738.872,0.210579
739.3541,0.110189
739.8362,0.246038
740.3184,1.280331
740.8005,2.069881
741.2826,2.121384
741.7647,1.536741
742.2468,1.115433
742.7289,0.894079
743.2111,0.745205
743.6932,0.599333
744.1753,0.475229
744.6574,0.51195
745.1395,0.705166
745.6216,0.910135
746.1038,1.046391
746.5859,1.12435
747.068,1.193392
747.5501,1.248495
748.0322,1.130455
748.5143,0.386965
748.9965,0.251152
749.4786,0.240816
749.9607,0.642559
750.4428,1.132944
750.9249,1.095022
751.407,0.907021
751.8892,0.825928
752.3713,0.848488
752.8534,0.829018
753.3355,0.764402
753.8176,0.646631
754.2997,0.274235
754.7819,0.085592002
755.264,0.103291
755.7461,1.033392
756.2282,1.771004
756.7103,1.694029
757.1924,1.278912
757.6746,0.91724
758.1567,0.605503
758.6388,0.462193
759.1209,0.543777
759.603,0.723625
760.0851,0.881487
760.5673,1.017813
761.0494,1.135593
761.5315,1.225826
762.0136,1.336428
762.4957,1.648155
762.9778,1.996117
763.46,2.048937
763.9421,1.638039
764.4242,1.127836
764.9063,0.484201
765.3884,0.050804
765.8705,0.173702
766.3527,0.527794
766.8348,1.127943
767.3169,1.681355
767.799,2.038485
768.2811,1.874121
768.7632,1.147654
769.2454,0.563055
769.7275,0.224977
770.2096,0.116573
770.6917,0.30018
771.1738,0.685143
771.6559,1.081839
772.1381,1.466547
772.6202,1.779469
773.1023,2.0161
773.5844,2.135767
774.0665,2.087057
774.5486,1.665281
775.0308,1.445412
775.5129,1.555738
775.995,1.861395
776.4771,2.131813
776.9592,2.357586
777.4413,2.239687
777.9235,1.572874
778.4056,0.863665
778.8877,1.054249
779.3698,1.790361
779.8519,2.161425
780.334,1.227781
780.8162,0.380415
781.2983,0.433754
781.7804,1.047668
782.2625,1.339279
782.7446,1.137558
783.2267,0.917162
783.7089,0.619942
784.191,0.377417
784.6731,0.444178
785.1552,0.81691
785.6373,1.185026
786.1194,1.503273
786.6016,1.639332
787.0837,1.135574
787.5658,0.258318
788.0479,0.248758
788.53,0.236547
789.0121,0.894907
789.4943,1.621618
789.9764,2.270988
790.4585,2.252134
790.9406,1.13998
791.4227,0.244831
791.9048,0.01438
792.387,0.163809
792.8691,0.118303
793.3512,0.130793
793.8333,0.271774
794.3154,0.109156
794.7975,0.218992
795.2797,0.551622
795.7618,0.916859
796.2439,1.387568
796.726,2.380535
797.2081,3.081493
797.6902,2.98041
798.1724,2.285267
798.6545,1.823843
799.1366,1.691559
799.6187,1.542854
800.1008,1.237207
800.5829,0.853334
801.0651,0.609116
801.5472,0.500849
802.0293,0.501602
802.5114,0.669619
802.9935,0.885109
803.4756,1.056171
803.9578,1.18421
804.4399,1.273859
804.922,1.392273
805.4041,1.391085
805.8862,1.157965
806.3683,0.774414
806.8505,0.543781
807.3326,0.475592
807.8147,0.642635
808.2968,1.164762
808.7789,1.826368
809.261,2.128767
809.7432,2.132837
810.2253,2.086664
810.7074,2.215504
811.1895,2.247349
811.6716,1.935898
812.1537,1.370918
812.6359,0.876366
813.118,0.369509
813.6001,0.157476
814.0822,0.418554
814.5643,0.997152
815.0464,1.357656
815.5286,1.499258
816.0107,1.443419
816.4928,1.034458
816.9749,0.603647
817.457,0.783041
817.9391,1.371605
818.4213,1.794367
818.9034,1.584087
819.3855,1.367622
819.8676,1.441822
820.3497,1.71888
820.8318,1.89257
821.314,1.972445
821.7961,1.907404
822.2782,1.622395
822.7603,1.243336
823.2424,0.997456
823.7245,0.897959
824.2067,1.09593
824.6888,2.023485
825.1709,2.770191
825.653,2.05286
826.1351,0.550526
826.6172,0.206539
827.0994,1.173262
827.5815,2.160524
828.0636,2.116512
828.5457,1.453884
829.0278,0.966177
829.5099,0.644396
829.9921,0.63468
