WavwNum_Chamosite,value_Chamosite
488.0105,0.498226
488.4926,0.580311
488.9747,0.343834
489.4568,0.512615
489.9389,0.509664
490.4211,0.594319
490.9032,0.191131
491.3853,0.388077
491.8674,0.493221
492.3495,0.200954
492.8316,0.169256
493.3138,0.057974
493.7959,0.440416
494.278,0.347467
494.7601,0.070963003
495.2422,0.335584
495.7243,0.442165
496.2065,0.38278
496.6886,0.376776
497.1707,0.648938
497.6528,1.068527
498.1349,1.454452
498.617,1.726812
499.0992,2.000428
499.5813,2.370583
500.0634,2.781166
500.5455,3.125822
501.0276,3.267563
501.5097,3.417295
501.9919,3.728767
502.474,4.225338
502.9561,4.637486
503.4382,4.88511
503.9203,5.093035
504.4025,5.321029
504.8846,5.638889
505.3667,5.807335
505.8488,5.662539
506.3309,5.448797
506.813,5.734488
507.2952,6.634971
507.7773,7.519626
508.2594,8.187918
508.7415,8.646771
509.2236,8.866184
509.7057,8.831757
510.1879,8.744496
510.67,8.743846
511.1521,8.822389
511.6342,8.912735
512.1163,8.952016
512.5984,9.191037
513.0806,10.12413
513.5627,11.44601
514.0448,12.51774
514.5269,12.95001
515.009,13.12798
515.4911,13.18405
515.9733,13.15704
516.4554,13.28788
516.9375,13.82112
517.4196,14.43604
517.9017,14.94655
518.3839,15.24631
518.866,15.5556
519.3481,15.92203
519.8302,16.3416
520.3123,16.80623
520.7944,17.36082
521.2766,17.83791
521.7587,18.15235
522.2408,18.43105
522.7229,19.15639
523.205,20.39969
523.6871,21.7348
524.1693,22.86744
524.6514,23.80729
525.1335,25.16866
525.6156,27.02147
526.0977,28.89413
526.5798,30.05924
527.062,30.8744
527.5441,32.36714
528.0262,34.89133
528.5083,37.85387
528.9904,40.60169
529.4725,43.2765
529.9547,46.11929
530.4368,49.11523
530.9189,52.35518
531.401,56.00488
531.8831,60.09527
532.3652,63.83776
532.8474,66.44539
533.3295,69.03529
533.8116,72.37568
534.2937,77.06954
534.7758,81.58434
535.2579,85.64388
535.7401,89.62216
536.2222,93.97032
536.7043,98.99887
537.1865,103.7162
537.6686,107.806
538.1507,111.4899
538.6328,115.5046
539.1149,119.8792
539.597,124.5592
540.0792,129.5707
540.5613,134.9035
541.0434,140.1786
541.5255,145.3902
542.0076,150.4435
542.4897,155.5632
542.9719,160.4572
543.454,164.6096
543.9361,167.8099
544.4182,170.2288
544.9003,172.1878
545.3824,173.4451
545.8646,173.5117
546.3467,172.5569
546.8288,169.9635
547.3109,165.2414
547.793,158.4081
548.2751,150.6084
548.7573,141.5441
549.2394,131.9453
549.7215,122.1189
550.2036,111.5759
550.6857,101.8981
551.1678,93.22508
551.65,85.25326
552.1321,77.67208
552.6142,70.40231
553.0963,63.85276
553.5784,58.16438
554.0605,53.22327
554.5427,48.72545
555.0248,44.67771
555.5069,41.19827
555.989,38.73502
556.4711,36.79584
556.9532,34.48764
557.4354,31.77689
557.9175,29.11085
558.3996,26.82353
558.8817,24.78834
559.3638,22.85574
559.8459,20.92852
560.3281,19.26636
560.8102,18.17551
561.2923,17.38651
561.7744,16.48372
562.2565,15.31083
562.7386,14.10176
563.2208,12.75981
563.7029,11.36594
564.185,10.44264
564.6671,10.20594
565.1492,10.07449
565.6313,9.802847
566.1135,9.394888
566.5956,8.773841
567.0777,7.876263
567.5598,7.00338
568.0419,6.606617
568.524,6.559204
569.0062,6.112374
569.4883,4.974695
569.9704,3.748661
570.4525,3.387664
570.9346,3.56947
571.4167,3.481466
571.8989,2.306527
572.381,1.095071
572.8631,0.674161
573.3452,0.938925
573.8273,1.089681
574.3094,0.652681
574.7916,0.159557
575.2737,0.060734
575.7558,0.184911
576.2379,0.161943
576.72,0.424247
577.2021,0.254447
577.6843,0.098947003
578.1664,0.614271
578.6485,0.406781
579.1306,0.351519
579.6127,0.508237
580.0948,0.570994
580.577,0.064239003
581.0591,0.294429
581.5412,0.33695
582.0233,0.161759
582.5054,0.12688
582.9875,0.491589
583.4697,0.66839
583.9518,0.218827
584.434,0.37806
584.9161,0.52217
585.3982,0.091830999
585.8803,0.235941
586.3624,0.096933998
586.8445,0.581527
587.3267,0.745847
587.8088,0.047386002
588.2909,0.404466
588.773,0.256211
589.2551,0.151709
589.7372,0.221144
590.2194,0.297732
590.7015,0.651025
591.1836,0.580501
591.6657,0.197432
592.1478,0.084179997
592.6299,0.260189
593.1121,0.559905
593.5942,1.004983
594.0763,0.649064
594.5584,0.542838
595.0405,0.826283
595.5226,1.113266
596.0048,1.069209
596.4869,0.811486
596.969,0.501111
597.4511,0.162712
597.9332,0.197087
598.4153,0.677277
598.8975,1.149084
599.3796,1.436725
599.8617,1.297712
600.3438,1.187542
600.8259,1.203201
601.308,1.332684
601.7902,1.544845
602.2723,1.918254
602.7544,2.23737
603.2365,2.410368
603.7186,2.437545
604.2007,2.512141
604.6829,2.656379
605.165,2.729897
605.6471,2.462863
606.1292,1.993602
606.6113,1.960994
607.0934,2.481074
607.5756,3.152765
608.0577,3.596414
608.5398,3.899946
609.0219,4.211272
609.504,4.688096
609.9861,5.039517
610.4683,4.913723
610.9504,4.557932
611.4325,4.504267
611.9146,5.313435
612.3967,6.00817
612.8788,6.169652
613.361,5.865769
613.8431,5.965461
614.3252,6.709212
614.8073,7.451228
615.2894,7.826927
615.7715,7.802952
616.2537,8.024614
616.7358,8.526692
617.2179,9.097817
617.7,9.491513
618.1821,9.768589
618.6642,10.15842
619.1464,10.73945
619.6285,11.31442
620.1106,11.64599
620.5927,11.84
621.0748,12.07837
621.5569,12.40945
622.0391,12.82562
622.5212,13.31317
623.0033,13.88458
623.4854,14.57752
623.9675,15.70958
624.4496,16.63765
624.9318,17.14158
625.4139,17.23036
625.896,17.26506
626.3781,17.12622
626.8602,17.20966
627.3423,17.90734
627.8245,19.19271
628.3066,20.0547
628.7887,20.41497
629.2708,20.69453
629.7529,21.29491
630.235,22.14532
630.7172,23.09774
631.1993,24.1078
631.6815,25.25196
632.1636,26.8572
632.6457,28.56769
633.1278,29.84267
633.6099,30.04927
634.092,30.32427
634.5742,31.02429
635.0563,32.06684
635.5384,33.0659
636.0205,33.7751
636.5026,34.8226
636.9847,36.53469
637.4669,38.81279
637.949,40.42735
638.4311,41.30655
638.9132,42.03352
639.3953,42.96127
639.8774,44.10041
640.3596,45.39573
640.8417,46.84744
641.3238,48.47032
641.8059,50.36429
642.288,52.36104
642.7701,54.16819
643.2523,55.6646
643.7344,57.27938
644.2165,59.3
644.6986,61.55029
645.1807,63.83453
645.6628,66.24802
646.145,68.60124
646.6271,70.91273
647.1092,73.14599
647.5913,75.06271
648.0734,76.43054
648.5555,78.26075
649.0377,81.07746
649.5198,84.61173
650.0019,87.62556
650.484,90.16216
650.9661,92.50394
651.4482,94.66421
651.9304,96.88128
652.4125,99.57542
652.8946,102.7275
653.3767,105.8591
653.8588,108.7221
654.3409,111.4472
654.8231,114.1445
655.3052,116.7731
655.7873,119.4814
656.2694,122.3276
656.7515,125.2446
657.2336,128.1606
657.7158,131.0565
658.1979,134.0154
658.68,137.1383
659.1621,140.2136
659.6442,142.8887
660.1263,145.1505
660.6085,147.0747
661.0906,148.5546
661.5727,149.8286
662.0548,151.4114
662.5369,153.2033
663.019,154.8262
663.5012,156.0771
663.9833,157.0855
664.4654,158.0461
664.9475,158.92
665.4296,159.4227
665.9117,159.4287
666.3939,159.1075
666.876,158.4497
667.3581,157.4305
667.8402,156.6367
668.3223,156.3117
668.8044,155.8478
669.2866,154.8927
669.7687,153.4321
670.2508,151.306
670.7329,148.4188
671.215,145.232
671.6971,142.0849
672.1793,138.9946
672.6614,136.1014
673.1435,133.4678
673.6256,130.8875
674.1077,128.2633
674.5898,125.5161
675.072,122.5547
675.5541,119.3626
676.0362,115.9504
676.5183,112.086
677.0004,108.031
677.4825,104.4447
677.9647,101.5667
678.4468,98.78532
678.929,95.98924
679.4111,93.17255
679.8932,90.08546
680.3753,86.68098
680.8574,83.37072
681.3395,80.26377
681.8217,77.43111
682.3038,75.32014
682.7859,73.86905
683.268,72.20185
683.7501,69.46419
684.2322,66.42585
684.7144,63.58178
685.1965,61.03134
685.6786,58.79686
686.1607,57.09206
686.6428,55.59868
687.1249,54.09036
687.6071,52.62413
