WavwNum_Zoisite,value_Zoisite
450.54,463.8223
451.0221,474.0552
451.5042,460.2241
451.9864,447.0273
452.4685,444.7896
452.9506,452.0645
453.4327,448.8516
453.9148,432.2246
454.3969,420.1201
454.8791,446.1211
455.3612,499.4497
455.8433,515.6719
456.3254,473.939
456.8075,394.5273
457.2896,299.9404
457.7718,192.9072
458.2539,95.0459
458.736,15.65918
459.2181,46.06104
459.7002,93.14941
460.1823,127.7769
460.6645,140.4536
461.1466,103.9482
461.6287,45.43994
462.1108,6.078613
462.5929,29.94531
463.075,49.85742
463.5572,33.93359
464.0393,17.47754
464.5214,77.70654
465.0035,145.582
465.4856,215.5562
465.9677,283.2466
466.4499,341.2905
466.932,405.9229
467.4141,481.6646
467.8962,563.938
468.3783,642.5029
468.8604,712.5098
469.3426,786.2871
469.8247,868.4019
470.3068,958.3999
470.7889,1059.42
471.271,1174.575
471.7531,1294.583
472.2353,1406.428
472.7174,1509.513
473.1995,1624.747
473.6816,1756.373
474.1637,1904.101
474.6458,2070.483
475.128,2254.597
475.6101,2435.105
476.0922,2589.176
476.5743,2731.361
477.0564,2891.421
477.5385,3075.557
478.0207,3267.67
478.5028,3450.126
478.9849,3632.249
479.467,3830.918
479.9491,4048.497
480.4312,4289.766
480.9134,4563.289
481.3955,4866.692
481.8776,5172.745
482.3597,5450.79
482.8418,5736.85
483.3239,6055.205
483.806,6425.867
484.2881,6806.199
484.7703,7206.103
485.2524,7606.263
485.7345,7961.967
486.2166,8236.184
486.6987,8510.559
487.1808,8816.604
487.663,9159.392
488.1451,9463.56
488.6272,9733.034
489.1093,9952.268
489.5914,10116.33
490.0735,10226.46
490.5557,10251.63
491.0378,10194.53
491.5199,10047.42
492.002,9776.467
492.4841,9381.872
492.9662,8907.112
493.4484,8353.843
493.9305,7741.769
494.4126,7116.616
494.8947,6472.877
495.3768,5852.642
495.8589,5268.794
496.3411,4730.75
496.8232,4250.762
497.3053,3854.386
497.7874,3492.27
498.2695,3134.434
498.7516,2789.127
499.2338,2476.512
499.7159,2208.034
500.198,1974.197
500.6801,1779.686
501.1622,1633.568
501.6443,1493.628
502.1265,1346.954
502.6086,1208.533
503.0907,1095.367
503.5728,1018.652
504.0549,948.1753
504.537,877.4146
505.0192,808.813
505.5013,759.9688
505.9834,739.1885
506.4655,716.8003
506.9476,667.9458
507.4297,590.5742
507.9119,546.1855
508.394,542.4912
508.8761,555.5142
509.3582,555.2866
