WavwNum_Anatase,value_Anatase
508.8245,1840.985
509.3066,1878.785
509.7888,1922.178
510.2709,1971.326
510.753,2015.096
511.2351,2052.973
511.7172,2083.348
512.1993,2100.021
512.6815,2104.549
513.1636,2108.073
513.6457,2123.365
514.1278,2137.241
514.6099,2126.174
515.092,2090.165
515.5742,2054.053
516.0563,2038.298
516.5384,2030.147
517.0205,2015.344
517.5026,1988.111
517.9847,1955.255
518.4669,1919.54
518.949,1881.316
519.4311,1840.384
519.9132,1792.298
520.3953,1744.443
520.8774,1699.049
521.3596,1655.87
521.8417,1614.515
522.3238,1578.472
522.8059,1542.821
523.288,1501.681
523.7701,1453.007
524.2523,1401.712
524.7344,1348.036
525.2165,1293.078
525.6986,1240.859
526.1807,1190.63
526.6628,1145.417
527.145,1111.214
527.6271,1084.146
528.1092,1047.918
528.5913,999.5486
529.0734,950.5911
529.5555,912.9561
530.0377,883.6005
530.5198,856.6113
531.0019,831.7167
531.484,805.5575
531.9661,772.9588
532.4482,735.3137
532.9304,701.8787
533.4125,679.0812
533.8946,659.9167
534.3767,639.9055
534.8588,618.2312
535.3409,596.1623
535.8231,574.3997
536.3052,552.2305
536.7873,528.8389
537.2694,500.7508
537.7515,476.6046
538.2336,460.0092
538.7158,449.9087
539.1979,433.6853
539.68,409.1379
540.1621,384.1999
540.6442,365.3192
541.1263,352.119
541.6085,336.4822
542.0906,316.7102
542.5727,296.9747
543.0548,283.5013
543.5369,275.3257
544.019,268.7063
544.5012,264.137
544.9833,258.9637
545.4654,248.8083
545.9475,234.3041
546.4296,220.7192
546.9117,212.9283
547.3939,206.5821
547.876,197.8464
548.3581,184.5234
548.8402,171.6408
549.3223,161.3335
549.8044,152.0832
550.2866,141.2334
550.7687,125.4493
551.2508,111.5417
551.7329,101.1022
552.215,94.07904
552.6971,88.19586
553.1793,83.99677
553.6614,79.90222
554.1435,74.42218
554.6256,67.37958
555.1077,62.08081
555.5898,59.20557
556.072,57.27966
556.5541,54.08783
557.0362,49.78381
557.5183,45.21844
558.0004,40.70105
558.4825,36.211
558.9647,31.19696
559.4468,25.84125
559.9289,22.06366
560.411,23.1684
560.8931,25.31995
561.3752,25.0249
561.8574,21.20886
562.3395,15.70728
562.8216,4.899475
563.3037,6.386292
563.7858,10.36218
564.2679,7.097412
564.7501,17.19452
565.2322,10.32892
565.7143,11.72375
566.1964,22.76862
566.6785,18.60583
567.1606,11.18896
567.6428,7.929382
568.1249,9.186646
568.607,9.478027
569.0891,7.822449
569.5712,6.866699
570.0533,12.1864
570.5355,22.2674
571.0176,29.51514
571.4997,28.43842
571.9818,24.95776
572.4639,28.67249
572.946,38.15594
573.4281,44.7735
573.9102,42.95563
574.3923,36.38818
574.8745,26.45349
575.3566,10.68835
575.8387,0.692139
576.3208,3.661682
576.8029,13.09613
577.285,21.12048
577.7672,30.26044
578.2493,33.57977
578.7314,26.86273
579.2135,13.16248
579.6956,7.880005
580.1777,14.97424
580.6599,20.72656
581.142,16.75897
581.6241,3.24054
582.1062,7.038513
582.5883,13.52026
583.0704,19.07214
583.5526,28.01923
584.0347,38.71008
584.5168,45.64661
584.9989,45.31207
585.481,43.54254
585.9631,46.49115
586.4453,52.85736
586.9274,58.85846
587.4095,60.56647
587.8916,63.06958
588.3737,70.35138
588.8558,83.54346
589.338,94.19489
589.8201,97.03412
590.3022,99.15869
590.7843,105.8133
591.2664,118.9865
591.7485,133.2538
592.2307,149.6768
592.7128,166.2122
593.1949,177.1854
593.677,181.4566
594.1591,187.8088
594.6412,199.2792
595.1234,215.3828
595.6055,236.4997
596.0876,262.729
596.5697,286.3927
597.0518,297.6471
597.5339,303.8281
598.0161,317.7697
598.4982,343.4592
598.9803,369.6316
599.4624,387.7408
599.9445,401.7002
600.4266,417.5496
600.9088,434.8732
601.3909,456.535
601.873,485.7473
602.3551,521.2537
602.8372,552.5837
603.3193,574.3903
603.8015,598.0472
604.2836,629.252
604.7657,668.7755
605.2478,706.4888
605.7299,742.0641
606.212,776.8185
606.6942,809.2403
607.1763,840.3839
607.6584,884.381
608.1405,948.145
608.6226,1019.294
609.1047,1084.216
609.5869,1143.455
610.069,1201.011
610.5511,1254.71
611.0332,1310.003
611.5153,1369.943
611.9974,1435.433
612.4796,1504.682
612.9617,1575.938
613.4438,1652.247
613.9259,1734.626
614.408,1825.087
614.8901,1920.207
615.3723,2017.225
615.8544,2121.341
616.3365,2239.363
616.8186,2375.778
617.3007,2508.599
617.7828,2629.817
618.265,2743.995
618.7471,2862.771
619.2292,2987.183
619.7113,3120.682
620.1934,3263.111
620.6755,3415.1
621.1577,3583.863
621.6398,3770.633
622.1219,3954.309
622.604,4110.329
623.0861,4257.6
623.5682,4415.822
624.0504,4597.168
624.5325,4781.866
625.0146,4962.411
625.4967,5142.854
625.9788,5333.389
626.4609,5544.21
