WavwNum_Gaspeite,value_Gaspeite
499.3271,1.856853
499.8092,1.161316
500.2914,1.257099
500.7735,1.670395
501.2556,1.954597
501.7377,1.995598
502.2198,1.89761
502.7019,1.538967
503.1841,1.048325
503.6662,0.774925
504.1483,0.931004
504.6304,1.107704
505.1125,1.181259
505.5946,1.138893
506.0768,1.166546
506.5589,1.284416
507.041,1.443604
507.5231,1.686794
508.0052,2.08725
508.4873,1.993233
508.9695,1.134083
509.4516,0.078383997
509.9337,0.064560004
510.4158,1.033619
510.8979,1.86861
511.38,1.947224
511.8622,1.603329
512.3443,1.70702
512.8264,2.223038
513.3085,2.526718
513.7906,1.841099
514.2728,0.772278
514.7549,0.117405
515.237,0.086131997
515.7191,0.302883
516.2012,0.707211
516.6833,1.169476
517.1655,1.497211
517.6476,1.555412
518.1297,1.541729
518.6118,1.549927
519.0939,1.567982
519.576,1.416546
520.0582,0.913723
520.5403,0.488327
521.0224,0.286179
521.5045,0.443161
521.9866,0.506466
522.4688,0.396568
522.9509,0.302948
523.433,0.465256
523.9151,0.919605
524.3972,1.225491
524.8793,1.279022
525.3615,1.122066
525.8436,0.749817
526.3257,0.167179
526.8078,0.235012
527.2899,0.075676002
527.772,0.39941
528.2542,0.622814
528.7363,0.565529
529.2184,0.41901
529.7005,0.192944
530.1826,0.0079380004
530.6647,0.090401001
531.1469,0.736034
531.629,1.306835
532.1111,1.319912
532.5932,0.999481
533.0753,0.806122
533.5574,1.032139
534.0396,1.253212
534.5217,1.278759
535.0038,1.084934
535.4859,1.04726
535.968,1.36084
536.4501,1.648212
536.9323,1.650745
537.4144,1.159271
537.8965,1.049908
538.3786,1.475445
538.8607,2.081913
539.3428,2.250206
539.825,1.943443
540.3071,1.752975
540.7892,1.972324
541.2713,2.319653
541.7534,1.838612
542.2355,0.634312
542.7177,0.177265
543.1998,0.620102
543.6819,2.070515
544.164,2.636414
544.6461,2.18211
545.1282,1.501942
545.6104,0.888603
546.0925,0.465092
546.5746,0.377964
547.0567,0.803967
547.5388,1.378517
548.0209,2.290024
548.5031,3.245415
548.9852,3.621853
549.4673,2.699127
549.9494,1.842808
550.4315,1.390171
550.9136,1.389767
551.3958,1.463448
551.8779,1.777992
552.36,1.976154
552.8421,1.760567
553.3242,1.07275
553.8063,0.456177
554.2885,0.154507
554.7706,0.448864
555.2527,0.334717
555.7348,1.971409
556.2169,3.002911
556.699,2.788338
557.1812,2.010925
557.6633,1.498695
558.1454,1.228928
558.6275,1.106018
559.1096,1.151241
559.5917,1.270893
560.0739,1.418339
560.556,1.591797
561.0381,1.70153
561.5202,1.576588
562.0023,1.455173
562.4844,1.531605
562.9666,2.224918
563.4487,2.516571
563.9308,2.057171
564.4129,1.288425
564.895,0.894993
565.3771,1.028133
565.8593,1.211624
566.3414,1.36869
566.8235,1.49427
567.3056,1.557613
567.7877,1.566364
568.2698,1.552197
568.752,1.490662
569.2341,1.409565
569.7162,1.459171
570.1983,1.655277
570.6804,1.795135
571.1625,1.577278
571.6447,1.204506
572.1268,1.014835
572.6089,1.140053
573.091,1.339962
573.5731,1.485405
574.0552,1.597385
574.5374,1.714058
575.0195,2.054176
575.5016,2.192421
575.9837,1.878647
576.4658,1.156845
576.9479,0.571892
577.4301,0.091484003
577.9122,0.333729
578.3943,0.292042
578.8764,2.139023
579.3585,2.655632
579.8406,1.372662
580.3228,0.200409
580.8049,0.306305
581.287,0.957756
581.7691,1.801952
582.2512,1.847366
582.7333,1.513477
583.2155,1.332497
583.6975,1.280884
584.1796,1.285637
584.6617,1.372669
585.1439,1.464405
585.626,1.431313
586.1081,1.294369
586.5902,1.204437
587.0723,1.258972
587.5544,1.357777
588.0366,1.469669
588.5187,1.624058
589.0008,1.691051
589.4829,1.548004
589.965,1.348022
590.4471,1.228775
590.9293,1.269081
591.4114,1.359711
591.8935,1.558563
592.3756,1.737072
592.8577,1.629513
593.3398,1.222088
593.822,0.774372
594.3041,0.271175
594.7862,0.167934
595.2683,0.138233
595.7504,0.302483
596.2325,0.733253
596.7147,0.854099
597.1968,0.839973
597.6789,0.917881
598.161,1.106846
598.6431,1.213352
599.1252,1.0107
599.6074,0.748798
600.0895,0.631187
600.5716,0.718975
601.0537,0.898556
601.5358,1.241096
602.0179,1.602173
602.5001,1.779007
602.9822,1.642086
603.4643,1.590405
603.9464,1.759754
604.4285,2.030476
604.9106,1.933041
605.3928,1.411453
605.8749,1.015667
606.357,1.234413
606.8391,1.772259
607.3212,1.418877
607.8033,0.224922
608.2855,0.683552
608.7676,0.020954
609.2497,1.278111
609.7318,2.012157
610.2139,1.94492
610.696,1.61702
611.1782,1.049442
611.6603,0.497955
612.1424,0.215637
612.6245,0.672558
613.1066,0.961761
613.5887,0.679962
614.0709,0.164917
614.553,0.153625
615.0351,0.989857
615.5172,1.580059
615.9993,1.533356
616.4814,1.00367
616.9636,0.833405
617.4457,1.04213
617.9278,1.382526
618.4099,1.925449
618.892,2.459953
619.3741,2.264301
619.8563,1.30127
620.3384,0.342445
620.8205,0.022236001
621.3026,0.066643
621.7847,0.175465
622.2668,0.326931
622.749,0.407959
623.2311,0.265293
623.7132,0.061214
624.1953,0.0032269999
624.6774,0.198536
625.1595,0.461517
625.6417,0.84045
626.1238,1.260864
626.6059,1.50375
627.088,1.541382
627.5701,1.484631
628.0522,1.322311
628.5344,1.104568
629.0165,1.087456
629.4986,1.24958
629.9807,1.433167
630.4628,1.609875
630.9449,1.695644
631.4271,1.428993
631.9092,0.773396
632.3913,0.241501
632.8734,0.37315
633.3555,0.736412
633.8376,0.859112
634.3198,0.426773
634.8019,0.163151
635.284,0.30397
635.7661,0.687561
636.2482,1.158955
636.7303,1.880138
