WavwNum_Lepidocrocite,value_Lepidocrocite
748.1328,0.421981
748.6149,0.439184
749.097,0.418221
749.5792,0.331289
750.0613,0.126225
750.5434,0.077907003
751.0255,0.053782001
751.5076,0.131628
751.9897,0.105437
752.4719,0.042149998
752.954,0.046682
753.4361,0.098955996
753.9182,0.088748001
754.4003,0.141876
754.8824,0.302745
755.3646,0.38507
755.8467,0.160591
756.3288,0.004034
756.8109,0.168016
757.293,0.086162999
757.7751,0.00073099998
758.2573,0.042328
758.7394,0.039553002
759.2215,0.02641
759.7036,0.052049998
760.1857,0.038396001
760.6678,0.076486997
761.15,0.079810001
761.6321,0.074281
762.1142,0.05037
762.5963,0.023173001
763.0784,0.016582999
763.5605,0.16192
764.0427,0.296307
764.5248,0.391365
765.0069,0.417328
765.489,0.296716
765.9711,0.193961
766.4532,0.117689
766.9354,0.063378997
767.4175,0.027806001
767.8996,0.015472
768.3817,0.0076100002
768.8638,0.014572
769.3459,0.0076270001
769.8281,0.166585
770.3102,0.435709
770.7923,0.582902
771.2744,0.497757
771.7565,0.324639
772.2386,0.052836001
772.7208,0.034768
773.2029,0.056432001
773.685,0.034216002
774.1671,0.287388
774.6492,0.357064
775.1313,0.306398
775.6135,0.260405
776.0956,0.21899
776.5777,0.187335
777.0598,0.173928
777.5419,0.1599
778.024,0.085891001
778.5062,0.021268001
778.9883,0.078106999
779.4704,0.056536999
779.9525,0.037207998
780.4346,0.253221
780.9167,0.537585
781.3989,0.761216
781.881,0.884919
782.3631,0.958636
782.8452,0.980705
783.3273,0.961571
783.8094,0.930137
784.2916,0.886538
784.7737,0.828231
785.2558,0.752563
785.7379,0.662812
786.22,0.526222
786.7021,0.373589
787.1843,0.315096
787.6664,0.588168
788.1485,0.789138
788.6306,0.557782
789.1127,0.042303
789.5948,0.089525998
790.077,0.216383
790.5591,0.536604
791.0412,0.607681
791.5233,0.50305
792.0054,0.503081
792.4875,0.6109
792.9697,0.66427
793.4518,0.559144
793.9339,0.385648
794.416,0.263105
794.8981,0.191807
795.3802,0.172995
795.8624,0.196431
796.3445,0.282923
796.8266,0.537417
797.3087,0.888931
797.7908,0.984207
798.2729,0.648048
798.7551,0.383688
799.2372,0.361358
799.7193,0.506202
800.2014,0.528482
800.6835,0.439219
801.1656,0.391348
801.6478,0.52075
802.1299,0.688251
802.612,0.749048
803.0941,0.712882
803.5762,0.610556
804.0583,0.295991
804.5405,0.080476999
805.0226,0.167634
805.5047,0.461082
805.9868,0.627032
806.4689,0.644721
806.951,0.626401
807.4332,0.609208
807.9153,0.582556
808.3974,0.513915
808.8795,0.408213
809.3616,0.261245
809.8438,0.010192
810.3259,0.044578999
810.808,0.0064099999
811.2901,0.123636
811.7722,0.032441001
812.2543,0.515143
812.7365,0.773189
813.2186,0.57049
813.7007,0.067938
814.1828,0.139123
814.6649,0.050151002
815.147,0.129938
815.6292,0.329776
816.1113,0.524329
816.5934,0.699244
817.0755,0.829184
817.5576,0.837201
818.0397,0.562316
818.5219,0.299761
819.004,0.242492
819.4861,0.325358
819.9682,0.326364
820.4503,0.159118
820.9324,0.042844001
821.4146,0.011193
821.8967,0.054180998
