WavwNum_Corundum,value_Corundum
595.9763,86.68945
596.4584,87.93164
596.9406,97.81543
597.4227,116.5684
597.9048,148.4922
598.3869,181.5498
598.869,214.8574
599.3511,244.9785
599.8333,266.1104
600.3154,297.7656
600.7975,297.8945
601.2796,238.5107
601.7617,123.1719
602.2438,55.61426
602.726,57.72363
603.2081,70.68066
603.6902,51.82715
604.1723,3.303711
604.6544,25.67188
605.1365,5.459961
605.6187,28.59277
606.1008,35.55566
606.5829,22.16602
607.065,18.03418
607.5471,46.51855
608.0292,72.87793
608.5114,32.42773
608.9935,51.19727
609.4756,94.19824
609.9577,2.527344
610.4398,105.0049
610.9219,149.75
611.4041,115.9873
611.8862,87.84668
612.3683,81.25879
612.8504,86.65723
613.3325,93.99707
613.8146,84.01172
614.2968,123.0234
614.7789,251.0371
615.261,398.1436
615.7431,405.123
616.2252,256.4424
616.7073,124.585
617.1895,76.86914
617.6716,88.46191
618.1537,102.1025
618.6358,116.8516
619.1179,116.416
619.6,68.87988
620.0822,9.219727
620.5643,17.79004
621.0464,3.072266
621.5285,23.28027
622.0106,56.23828
622.4927,87.24902
622.9749,106.9229
623.457,106.0488
623.9391,102.0605
624.4212,81.83691
624.9033,61.46777
625.3854,89.89355
625.8676,197.8701
626.3497,285.3623
626.8318,311.709
627.3139,283.6309
627.796,258.6875
628.2781,233.959
628.7603,236.0361
629.2424,314.2471
629.7245,434.3447
630.2066,502.0986
630.6887,496.5283
631.1708,480.2725
631.653,506.582
632.1351,559.1973
632.6172,613.8398
633.0993,657.0576
633.5814,706.7129
634.0635,771.8525
634.5457,847.8916
635.0278,921.0342
635.5099,965.6826
635.992,1035.259
636.4741,1153.645
636.9562,1325.777
637.4384,1474.681
637.9205,1591.39
638.4026,1714.863
638.8847,1879.732
639.3668,2080.923
639.8489,2278.898
640.3311,2462.322
640.8132,2663.651
641.2953,2940.35
641.7774,3264.592
642.2595,3581.549
642.7416,3879.675
643.2238,4146.135
643.7059,4395.894
644.188,4609.15
644.6701,4739.174
645.1522,4767.893
645.6343,4702.868
646.1165,4527.762
646.5986,4233.645
647.0807,3943.048
647.5628,3660.754
648.0449,3370.275
648.527,3050.032
649.0092,2696.338
649.4913,2365.778
649.9734,2053.652
650.4555,1776.122
650.9376,1561.635
651.4197,1399.225
651.9019,1261.6
652.384,1141.731
652.8661,1038.925
653.3482,960.1816
653.8303,899.1836
654.3124,837.4551
654.7946,755.668
655.2767,680.1787
655.7588,622.3193
656.2409,582.998
656.723,558.9189
657.2051,568.0908
657.6872,571.835
658.1693,544.3389
658.6514,476.8965
659.1335,419.127
659.6157,374.0859
660.0978,334.1387
660.5799,282.4316
661.062,225.0801
661.5441,197.7236
662.0262,218.9424
662.5084,256.665
662.9905,282.4424
663.4726,296.4482
663.9547,297.1064
664.4368,269.0107
664.9189,239.6201
665.4011,223.124
665.8832,219.1582
666.3653,219.0576
666.8474,218.5527
667.3295,218.0146
667.8116,229.7129
668.2938,258.501
668.7759,249.2549
669.258,188.5352
669.7401,119.125
670.2222,89.56641
670.7043,96.5791
671.1865,105.4521
671.6686,112.833
672.1507,113.8877
672.6328,96.51758
673.1149,68.1543
673.597,46.05078
674.0792,42.50781
674.5613,43.38086
675.0434,31.52344
675.5255,13.66602
676.0076,24.4668
676.4897,120.4023
676.9719,198.6738
677.454,210.2363
677.9361,146.3848
678.4182,113.4551
678.9003,126.5801
679.3824,143.9883
679.8646,122.5371
680.3467,66.54492
680.8288,35.91211
681.3109,37.33789
681.793,59.01172
682.2751,107.1602
682.7573,163.3477
